,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,jitter,ttap3
1214,206,3,68,5,0.015026092529296875,0.576909065246582,0.5288941860198983,10.227742057923397,10.227742057923392,2,0.075,2.590646982192993
1215,206,3,68,5,0.015026092529296875,0.576909065246582,0.5288941860198983,10.227742057923397,10.227742057923392,1,0.075,2.60567307472229
1216,206,3,68,6,0.06304097175598056,0.5448048114776602,0.5609560012817374,40.45727254953579,40.45727254953579,2,0.075,3.1195411682128915
1217,206,3,68,6,0.06304097175598056,0.5448048114776602,0.5609560012817374,40.45727254953579,40.45727254953579,1,0.075,3.182582139968872
1218,206,3,68,7,0.046889781951903416,0.5331270694732675,0.5570049285888672,30.305515510339077,30.305515510339088,2,0.075,3.680497169494629
1219,206,3,68,7,0.046889781951903416,0.5331270694732675,0.5570049285888672,30.305515510339077,30.305515510339088,1,0.075,3.727386951446532
1220,206,3,68,8,0.02301192283630371,0.5208671092987059,0.5099060535430917,16.246703022068036,16.246703022068033,2,0.075,4.237502098083496
1221,206,3,68,8,0.02301192283630371,0.5208671092987059,0.5099060535430917,16.246703022068036,16.246703022068033,1,0.075,4.2605140209198
1222,206,3,68,9,0.033972978591918064,,,,,2,0.075,4.747408151626588
1223,206,3,68,9,0.033972978591918064,,,,,1,0.075,4.781381130218506
1224,206,3,69,1,0.11291718482971193,0.5130538940429674,0.5870280265808092,79.2318058798164,79.2318058798164,2,0.1,0.6155669689178471
1225,206,3,69,1,0.11291718482971193,0.5130538940429674,0.5870280265808092,79.2318058798164,79.2318058798164,1,0.1,0.728484153747559
1226,206,3,69,2,0.03894305229187012,0.5288341045379648,0.5537540912628183,26.510201790638842,26.510201790638863,2,0.1,1.2025949954986563
1227,206,3,69,2,0.03894305229187012,0.5288341045379648,0.5537540912628183,26.510201790638842,26.510201790638863,1,0.1,1.2415380477905265
