,sample,eventcode,eventname,alpha
3640,2205108,15,s2/t1,8.209776353352993
3641,2205119,6,s1/t1,8.209776353352993
3642,2205593,7,s1/t2,16.4677045571311
3643,2205613,16,s2/t2,16.4677045571311
3644,2206047,8,s1/t3,23.089767603843484
3645,2206077,17,s2/t3,23.089767603843484
3646,2206514,9,s1/t4,31.313442851498515
3647,2206553,18,s2/t4,31.313442851498515
3648,2206964,10,s1/t5,58.43711547676588
3649,2207040,19,s2/t5,58.43711547676588
3650,2207433,11,s1/t6,52.10378349871891
3651,2207515,20,s2/t6,52.10378349871891
3652,2207960,21,s2/t7,27.87305923993148
3653,2208000,12,s1/t7,27.87305923993148
3654,2208388,22,s2/t8,57.260349428376074
3655,2208519,13,s1/t8,57.260349428376074
3656,2208804,23,s2/t9,
3657,2209342,14,s1/t9,
3658,2209353,49,,
3659,2211995,48,,
3660,2212043,5,,
3661,2212180,4,,
3662,2215530,6,s1/t1,24.07151221055463
3663,2215562,15,s2/t1,24.07151221055463
3664,2216045,16,s2/t2,11.487091530561145
3665,2216060,7,s1/t2,11.487091530561145
3666,2216523,17,s2/t3,8.537188850798143
3667,2216534,8,s1/t3,8.537188850798143
3668,2216971,9,s1/t4,8.740922092931015
3669,2216982,18,s2/t4,8.740922092931015
3670,2217411,10,s1/t5,31.96909453510108
3671,2217454,19,s2/t5,31.96909453510108
3672,2217863,11,s1/t6,60.54741942682194
3673,2217940,20,s2/t6,60.54741942682194
3674,2218361,12,s1/t7,28.869266245200805
3675,2218400,21,s2/t7,28.869266245200805
3676,2218823,13,s1/t8,52.567949459112384
3677,2218889,22,s2/t8,52.567949459112384
3678,2219298,14,s1/t9,
3679,2219335,23,s2/t9,
3680,2219345,49,,
3681,2222234,48,,
3682,2222282,5,,
3683,2222367,4,,
3684,2225999,6,s1/t1,137.8823319373781
3685,2226305,15,s2/t1,137.8823319373781
3686,2226788,16,s2/t2,8.481278440950518
3687,2226798,7,s1/t2,8.481278440950518
3688,2227248,17,s2/t3,8.959435157525235
3689,2227259,8,s1/t3,8.959435157525235
3690,2227700,9,s1/t4,9.824304849337976
3691,2227712,18,s2/t4,9.824304849337976
3692,2228137,10,s1/t5,41.07599878945933
3693,2228197,19,s2/t5,41.07599878945933
3694,2228646,20,s2/t6,10.172569703912815
3695,2228660,11,s1/t6,10.172569703912815
3696,2229143,21,s2/t7,16.454498064753867
3697,2229164,12,s1/t7,16.454498064753867
3698,2229615,13,s1/t8,8.281215988504414
3699,2229626,22,s2/t8,8.281215988504414
3700,2230075,23,s2/t9,
3701,2230097,14,s1/t9,
3702,2230107,49,,
3703,2233002,48,,
3704,2233050,4,,
3705,2233135,5,,
3706,2236548,15,s2/t1,8.24548044678653
3707,2236559,6,s1/t1,8.24548044678653
3708,2237032,16,s2/t2,45.39897661381608
3709,2237090,7,s1/t2,45.39897661381608
3710,2237495,17,s2/t3,8.250431086171062
3711,2237506,8,s1/t3,8.250431086171062
3712,2237967,18,s2/t4,8.163651122715322
3713,2237978,9,s1/t4,8.163651122715322
3714,2238434,10,s1/t5,8.189693586690282
3715,2238444,19,s2/t5,8.189693586690282
3716,2238906,11,s1/t6,8.695345052238707
3717,2238917,20,s2/t6,8.695345052238707
3718,2239377,21,s2/t7,14.079986998049721
3719,2239395,12,s1/t7,14.079986998049721
3720,2239666,13,s1/t8,49.00327210150085
3721,2239815,14,s1/t9,
3722,2239846,22,s2/t8,49.00327210150085
3723,2241164,23,s2/t9,
3724,2241175,49,,
3725,2243565,48,,
3726,2243613,4,,
3727,2243698,5,,
3728,2247282,15,s2/t1,42.194408510509156
3729,2247339,6,s1/t1,42.194408510509156
3730,2247788,16,s2/t2,23.946784510307022
3731,2247820,7,s1/t2,23.946784510307022
