,index,sample,eventcode,eventname
217,282,916414,6,s1/t1
218,283,917035,7,s1/t2
219,284,917060,16,s2/t2
220,285,917675,8,s1/t3
221,286,917715,17,s2/t3
222,287,918318,18,s2/t4
223,288,918329,9,s1/t4
224,289,918989,10,s1/t5
225,290,919010,19,s2/t5
226,291,919667,11,s1/t6
227,292,919736,20,s2/t6
228,293,920361,21,s2/t7
229,294,920371,12,s1/t7
230,295,921044,13,s1/t8
231,296,921054,22,s2/t8
232,297,921703,14,s1/t9
233,298,921731,23,s2/t9
234,303,927555,6,s1/t1
235,304,927842,15,s2/t1
236,305,928343,7,s1/t2
237,306,928522,16,s2/t2
238,307,929111,8,s1/t3
239,308,929146,17,s2/t3
240,309,929803,9,s1/t4
241,310,929816,18,s2/t4
242,311,930445,19,s2/t5
243,312,930476,10,s1/t5
244,313,931114,11,s1/t6
245,314,931124,20,s2/t6
246,315,931773,21,s2/t7
247,316,931784,12,s1/t7
248,317,932450,13,s1/t8
249,318,932461,22,s2/t8
250,319,933070,14,s1/t9
251,320,933086,23,s2/t9
252,325,939008,15,s2/t1
253,326,939830,16,s2/t2
254,327,939841,6,s1/t1
255,328,940503,7,s1/t2
256,329,940585,17,s2/t3
257,330,941220,8,s1/t3
258,331,941290,18,s2/t4
259,332,941931,9,s1/t4
260,333,942018,19,s2/t5
261,334,942669,10,s1/t5
262,335,942739,20,s2/t6
263,336,943411,11,s1/t6
264,337,943449,21,s2/t7
265,338,944130,12,s1/t7
266,339,944152,22,s2/t8
267,340,944837,13,s1/t8
268,341,944888,23,s2/t9
269,342,945565,14,s1/t9
270,347,951850,6,s1/t1
271,348,951900,15,s2/t1
272,349,952476,7,s1/t2
273,350,952579,16,s2/t2
274,351,953118,8,s1/t3
275,352,953192,17,s2/t3
276,353,953804,9,s1/t4
277,354,953817,18,s2/t4
278,355,954472,19,s2/t5
279,356,954506,10,s1/t5
280,357,955109,20,s2/t6
281,358,955184,11,s1/t6
282,359,955792,21,s2/t7
283,360,955841,12,s1/t7
284,361,956471,22,s2/t8
285,362,957130,23,s2/t9
286,363,957646,13,s1/t8
287,364,957855,14,s1/t9
288,369,963473,6,s1/t1
289,370,963863,15,s2/t1
290,371,964430,7,s1/t2
291,372,964524,16,s2/t2
292,373,965193,8,s1/t3
293,374,965205,17,s2/t3
294,375,965908,9,s1/t4
295,376,965926,18,s2/t4
296,377,966563,10,s1/t5
297,378,966610,19,s2/t5
298,379,967254,11,s1/t6
299,380,967290,20,s2/t6
300,381,967949,12,s1/t7
301,382,967961,21,s2/t7
302,383,968647,13,s1/t8
303,384,968658,22,s2/t8
304,385,969330,23,s2/t9
305,386,969352,14,s1/t9
306,391,975784,15,s2/t1
307,392,976006,6,s1/t1
308,393,976540,16,s2/t2
309,394,976600,7,s1/t2
310,395,977210,8,s1/t3
311,396,977221,17,s2/t3
312,397,977893,18,s2/t4
313,398,977904,9,s1/t4
314,399,978544,10,s1/t5
315,400,978583,19,s2/t5
316,401,979922,11,s1/t6
317,402,979992,20,s2/t6
318,403,980603,12,s1/t7
319,404,980656,21,s2/t7
320,405,981253,13,s1/t8
321,406,981322,22,s2/t8
322,407,981913,14,s1/t9
323,408,981969,23,s2/t9
324,413,988117,15,s2/t1
325,414,988423,6,s1/t1
326,415,988817,16,s2/t2
327,416,989014,7,s1/t2
328,417,989436,17,s2/t3
329,418,989553,8,s1/t3
330,419,990074,18,s2/t4
331,420,990107,9,s1/t4
332,421,990726,19,s2/t5
333,422,990755,10,s1/t5
334,423,991388,20,s2/t6
335,424,991399,11,s1/t6
336,425,991986,12,s1/t7
337,426,992090,21,s2/t7
338,427,992668,13,s1/t8
339,428,992724,22,s2/t8
340,429,993346,14,s1/t9
341,430,993397,23,s2/t9
342,435,999675,15,s2/t1
343,436,999757,6,s1/t1
344,437,1000330,7,s1/t2
345,438,1000396,16,s2/t2
346,439,1001006,8,s1/t3
347,440,1001042,17,s2/t3
348,441,1001668,9,s1/t4
349,442,1001727,18,s2/t4
350,443,1002312,10,s1/t5
351,444,1002361,19,s2/t5
352,445,1002981,20,s2/t6
353,446,1002992,11,s1/t6
354,447,1003615,12,s1/t7
355,448,1003649,21,s2/t7
356,449,1004276,22,s2/t8
357,450,1004320,13,s1/t8
358,451,1004960,14,s1/t9
359,452,1005013,23,s2/t9
360,457,1011511,6,s1/t1
361,458,1011541,15,s2/t1
362,459,1012145,7,s1/t2
363,460,1012223,16,s2/t2
364,461,1012848,8,s1/t3
365,462,1012878,17,s2/t3
366,463,1013511,9,s1/t4
367,464,1013542,18,s2/t4
368,465,1014150,10,s1/t5
369,466,1014231,19,s2/t5
370,467,1014866,11,s1/t6
371,468,1014904,20,s2/t6
372,469,1015515,12,s1/t7
373,470,1015550,21,s2/t7
374,471,1016171,13,s1/t8
375,472,1016212,22,s2/t8
376,473,1016840,14,s1/t9
377,474,1016877,23,s2/t9
378,479,1022915,15,s2/t1
379,480,1022929,6,s1/t1
380,481,1023583,7,s1/t2
381,482,1023612,16,s2/t2
382,483,1024230,8,s1/t3
383,484,1024280,17,s2/t3
384,485,1024885,9,s1/t4
385,486,1024916,18,s2/t4
386,487,1025524,10,s1/t5
387,488,1025592,19,s2/t5
388,489,1026173,11,s1/t6
389,490,1026243,20,s2/t6
390,491,1026896,12,s1/t7
391,492,1026910,21,s2/t7
392,493,1027569,22,s2/t8
393,494,1027580,13,s1/t8
394,495,1028216,23,s2/t9
395,496,1028263,14,s1/t9
396,501,1034432,6,s1/t1
397,502,1034641,15,s2/t1
398,503,1035248,16,s2/t2
399,504,1035280,7,s1/t2
400,505,1035911,17,s2/t3
401,506,1035936,8,s1/t3
402,507,1036615,18,s2/t4
403,508,1036639,9,s1/t4
404,509,1037306,19,s2/t5
405,510,1037316,10,s1/t5
406,511,1037936,20,s2/t6
407,512,1038002,11,s1/t6
408,513,1038556,21,s2/t7
409,514,1038637,12,s1/t7
410,515,1039247,22,s2/t8
411,516,1039309,13,s1/t8
412,517,1039898,23,s2/t9
413,518,1039950,14,s1/t9
414,523,1045906,15,s2/t1
415,524,1046284,6,s1/t1
416,525,1046647,16,s2/t2
417,526,1046802,7,s1/t2
418,527,1047359,17,s2/t3
419,528,1047398,8,s1/t3
420,529,1048046,18,s2/t4
421,530,1048092,9,s1/t4
422,531,1048709,10,s1/t5
423,532,1048769,19,s2/t5
424,533,1049397,11,s1/t6
425,534,1049417,20,s2/t6
426,535,1050072,12,s1/t7
427,536,1050101,21,s2/t7
428,537,1050714,13,s1/t8
429,538,1050786,22,s2/t8
430,539,1051437,14,s1/t9
431,540,1051447,23,s2/t9
432,545,1057999,15,s2/t1
433,546,1058226,6,s1/t1
434,547,1058724,16,s2/t2
435,548,1058776,7,s1/t2
436,549,1059414,17,s2/t3
437,550,1059435,8,s1/t3
438,551,1060067,9,s1/t4
439,552,1060110,18,s2/t4
440,553,1060749,10,s1/t5
441,554,1060787,19,s2/t5
442,555,1061385,11,s1/t6
443,556,1061476,20,s2/t6
444,557,1062062,12,s1/t7
445,558,1062181,21,s2/t7
446,559,1062800,13,s1/t8
447,560,1062835,22,s2/t8
448,561,1063460,14,s1/t9
449,562,1063501,23,s2/t9
450,569,1083584,15,s2/t1
451,570,1084254,6,s1/t1
