,index,pair,block,trial,tapnr,Delta,ITI_sub1,ITI_sub2,alpha,alpha_lin,subject,ttap,jitter,ttap3
4678,47878,203,11,260,9,0.010946989059448242,,,,,1,7.710330009460449,0.05,4.710330009460449
4679,47879,203,11,260,9,0.010946989059448242,,,,,2,7.7212769985198975,0.05,4.7212769985198975
4680,47880,203,11,261,1,0.24626612663269087,0.33524084091186523,0.4845569133758545,264.4540723219231,95.54592767807691,1,3.4420571327209477,0.075,0.4420571327209477
4681,47881,203,11,261,1,0.24626612663269087,0.33524084091186523,0.4845569133758545,264.4540723219231,95.54592767807691,2,3.195791006088257,0.075,0.19579100608825684
4682,47882,203,11,261,2,0.09695005416870162,0.40354514122009144,0.48955702781677246,86.48851376381013,86.48851376381013,1,3.777297973632813,0.075,0.7772979736328129
4683,47883,203,11,261,2,0.09695005416870162,0.40354514122009144,0.48955702781677246,86.48851376381013,86.48851376381013,2,3.6803479194641113,0.075,0.6803479194641113
4684,47884,203,11,261,3,0.010938167572020596,0.4957628250122079,0.49594902992248535,7.942790639516889,7.942790639516886,1,4.180843114852904,0.075,1.1808431148529044
4685,47885,203,11,261,3,0.010938167572020596,0.4957628250122079,0.49594902992248535,7.942790639516889,7.942790639516886,2,4.169904947280884,0.075,1.1699049472808838
4686,47886,203,11,261,4,0.010751962661743164,0.45801615715026855,0.9130580425262442,8.45102623084455,8.451026230844548,1,4.676605939865112,0.075,1.6766059398651123
4687,47887,203,11,261,4,0.010751962661743164,0.45801615715026855,0.9130580425262442,8.45102623084455,8.451026230844548,2,4.665853977203369,0.075,1.6658539772033691
4688,47888,203,11,261,5,0.4442899227142325,0.5661778450012216,0.4961578845977792,282.4984650834909,77.50153491650912,1,5.134622097015381,0.075,2.134622097015381
4689,47889,203,11,261,5,0.4442899227142325,0.5661778450012216,0.4961578845977792,282.4984650834909,77.50153491650912,2,5.578912019729613,0.075,2.5789120197296134
4690,47890,203,11,261,6,0.3742699623107901,0.5322971343994141,0.5140831470489502,253.1240123693455,106.87598763065449,1,5.7007999420166025,0.075,2.7007999420166025
4691,47891,203,11,261,6,0.3742699623107901,0.5322971343994141,0.5140831470489502,253.1240123693455,106.87598763065449,2,6.075069904327393,0.075,3.0750699043273926
4692,47892,203,11,261,7,0.35605597496032626,0.5398268699645987,0.4818830490112296,237.44677806446234,122.55322193553766,1,6.2330970764160165,0.075,3.2330970764160165
